alpha,run,eps,min_samples,mi_A,mi_B,mi_C,mi_D,polarization_mean
0.03,4,15.0,5,0.0515661621017482,0.0,0.21077793972086095,0.21077793972086095,0.3020932364348918
0.03,5,15.0,5,0.0515661621017482,0.0,0.21077793972086095,0.21077793972086095,0.3020932364348918
0.03,6,15.0,5,0.0515661621017482,0.0,0.21077793972086095,0.21077793972086095,0.3020932364348918
0.03,7,15.0,5,0.0515661621017482,0.0,0.21077793972086095,0.21077793972086095,0.3020932364348918
0.03,8,15.0,5,0.0515661621017482,0.0,0.21077793972086095,0.21077793972086095,0.3020932364348918
0.03,9,15.0,5,0.0515661621017482,0.0,0.21077793972086095,0.21077793972086095,0.3020932364348918
0.03,10,15.0,5,0.0515661621017482,0.0,0.21077793972086095,0.21077793972086095,0.3020932364348918
0.03,11,15.0,5,0.0515661621017482,0.0,0.21077793972086095,0.21077793972086095,0.3020932364348918
0.03,12,15.0,5,0.0515661621017482,0.0,0.21077793972086095,0.21077793972086095,0.3020932364348918
0.03,13,15.0,5,0.0515661621017482,0.0,0.21077793972086095,0.21077793972086095,0.3020932364348918
0.03,14,15.0,5,0.0515661621017482,0.0,0.21077793972086095,0.21077793972086095,0.3020932364348918
0.03,15,15.0,5,0.0515661621017482,0.0,0.21077793972086095,0.21077793972086095,0.3020932364348918
0.03,16,15.0,5,0.0515661621017482,0.0,0.21077793972086095,0.21077793972086095,0.3020932364348918
0.03,17,15.0,5,0.0515661621017482,0.0,0.21077793972086095,0.21077793972086095,0.3020932364348918
0.03,18,15.0,5,0.0515661621017482,0.0,0.21077793972086095,0.21077793972086095,0.3020932364348918
0.03,19,15.0,5,0.0515661621017482,0.0,0.21077793972086095,0.21077793972086095,0.3020932364348918
0.04,0,15.0,5,0.19046791894190343,0.0,0.0875863133140869,0.0875863133140869,0.08949590964570618
0.04,1,15.0,5,0.19046791894190343,0.0,0.0875863133140869,0.0875863133140869,0.08949590964570618
0.04,2,15.0,5,0.19046791894190343,0.0,0.0875863133140869,0.0875863133140869,0.08949590964570618
0.04,3,15.0,5,0.19046791894190343,0.0,0.0875863133140869,0.0875863133140869,0.08949590964570618
0.04,4,15.0,5,0.19046791894190343,0.0,0.0875863133140869,0.0875863133140869,0.08949590964570618
0.04,5,15.0,5,0.19046791894190343,0.0,0.0875863133140869,0.0875863133140869,0.08949590964570618
0.04,6,15.0,5,0.19046791894190343,0.0,0.0875863133140869,0.0875863133140869,0.08949590964570618
0.04,7,15.0,5,0.19046791894190343,0.0,0.0875863133140869,0.0875863133140869,0.08949590964570618
0.04,8,15.0,5,0.19046791894190343,0.0,0.0875863133140869,0.0875863133140869,0.08949590964570618
0.04,9,15.0,5,0.19046791894190343,0.0,0.0875863133140869,0.0875863133140869,0.08949590964570618
0.04,10,15.0,5,0.19046791894190343,0.0,0.0875863133140869,0.0875863133140869,0.08949590964570618
0.04,11,15.0,5,0.19046791894190343,0.0,0.0875863133140869,0.0875863133140869,0.08949590964570618
0.04,12,15.0,5,0.19046791894190343,0.0,0.0875863133140869,0.0875863133140869,0.08949590964570618
0.04,13,15.0,5,0.19046791894190343,0.0,0.0875863133140869,0.0875863133140869,0.08949590964570618
0.04,14,15.0,5,0.19046791894190343,0.0,0.0875863133140869,0.0875863133140869,0.08949590964570618
0.04,15,15.0,5,0.19046791894190343,0.0,0.0875863133140869,0.0875863133140869,0.08949590964570618
0.04,16,15.0,5,0.07546030572620657,0.0,0.29443363625014063,0.29443363625014063,0.29884407027422477
0.04,17,15.0,5,0.07546030572620657,0.0,0.29443363625014063,0.29443363625014063,0.29884407027422477
0.04,18,15.0,5,0.07546030572620657,0.0,0.29443363625014063,0.29443363625014063,0.29884407027422477
0.04,19,15.0,5,0.07546030572620657,0.0,0.29443363625014063,0.29443363625014063,0.29884407027422477
0.05,0,15.0,5,0.029048719715315575,0.00979470490217786,0.22523096965489853,0.22800515567698182,0.3256697568831483
0.05,1,15.0,5,0.029048719715315575,0.00979470490217786,0.22523096965489853,0.22800515567698182,0.3256697568831483
0.05,2,15.0,5,0.029048719715315575,0.00979470490217786,0.22523096965489853,0.22800515567698182,0.3256697568831483
0.05,3,15.0,5,0.029048719715315575,0.00979470490217786,0.22523096965489853,0.22800515567698182,0.3256697568831483
0.05,4,15.0,5,0.029048719715315575,0.00979470490217786,0.22523096965489853,0.22800515567698182,0.3256697568831483
0.05,5,15.0,5,0.029048719715315575,0.00979470490217786,0.22523096965489853,0.22800515567698182,0.3256697568831483
0.05,6,15.0,5,0.029048719715315575,0.00979470490217786,0.22523096965489853,0.22800515567698182,0.3256697568831483
0.05,7,15.0,5,0.029048719715315575,0.00979470490217786,0.22523096965489853,0.22800515567698182,0.3256697568831483
0.05,8,15.0,5,0.029048719715315575,0.00979470490217786,0.22523096965489853,0.22800515567698182,0.3256697568831483
0.05,9,15.0,5,0.029048719715315575,0.00979470490217786,0.22523096965489853,0.22800515567698182,0.3256697568831483
0.05,10,15.0,5,0.029048719715315575,0.00979470490217786,0.22523096965489853,0.22800515567698182,0.3256697568831483
0.05,11,15.0,5,0.029048719715315575,0.00979470490217786,0.22523096965489853,0.22800515567698182,0.3256697568831483
0.05,12,15.0,5,0.059648967431300916,0.0,0.04302735287527421,0.04302735287527421,0.2654601241995237
0.05,13,15.0,5,0.059648967431300916,0.0,0.04302735287527421,0.04302735287527421,0.2654601241995237
0.05,14,15.0,5,0.059648967431300916,0.0,0.04302735287527421,0.04302735287527421,0.2654601241995237
0.05,15,15.0,5,0.059648967431300916,0.0,0.04302735287527421,0.04302735287527421,0.2654601241995237
0.05,16,15.0,5,0.059648967431300916,0.0,0.04302735287527421,0.04302735287527421,0.2654601241995237
0.05,17,15.0,5,0.059648967431300916,0.0,0.04302735287527421,0.04302735287527421,0.2654601241995237
0.05,18,15.0,5,0.059648967431300916,0.0,0.04302735287527421,0.04302735287527421,0.2654601241995237
0.05,19,15.0,5,0.059648967431300916,0.0,0.04302735287527421,0.04302735287527421,0.2654601241995237
0.06,0,15.0,5,0.10124430398011902,0.0,0.11228630142260568,0.11228630142260568,0.2921346472470973
0.06,1,15.0,5,0.10124430398011902,0.0,0.11228630142260568,0.11228630142260568,0.2921346472470973
0.06,2,15.0,5,0.10124430398011902,0.0,0.11228630142260568,0.11228630142260568,0.2921346472470973
0.06,3,15.0,5,0.10124430398011902,0.0,0.11228630142260568,0.11228630142260568,0.2921346472470973
0.06,4,15.0,5,0.10124430398011902,0.0,0.11228630142260568,0.11228630142260568,0.2921346472470973
0.06,5,15.0,5,0.10124430398011902,0.0,0.11228630142260568,0.11228630142260568,0.2921346472470973
0.06,6,15.0,5,0.10124430398011902,0.0,0.11228630142260568,0.11228630142260568,0.2921346472470973
0.06,7,15.0,5,0.10124430398011902,0.0,0.11228630142260568,0.11228630142260568,0.2921346472470973
0.06,8,15.0,5,0.03525931313842246,0.0,0.07526243923412945,0.07526243923412945,0.2716099198698826
0.06,9,15.0,5,0.03525931313842246,0.0,0.07526243923412945,0.07526243923412945,0.2716099198698826
0.06,10,15.0,5,0.03525931313842246,0.0,0.07526243923412945,0.07526243923412945,0.2716099198698826
0.06,11,15.0,5,0.03525931313842246,0.0,0.07526243923412945,0.07526243923412945,0.2716099198698826
0.06,12,15.0,5,0.03525931313842246,0.0,0.07526243923412945,0.07526243923412945,0.2716099198698826
0.06,13,15.0,5,0.03525931313842246,0.0,0.07526243923412945,0.07526243923412945,0.2716099198698826
0.06,14,15.0,5,0.03525931313842246,0.0,0.07526243923412945,0.07526243923412945,0.2716099198698826
0.06,15,15.0,5,0.03525931313842246,0.0,0.07526243923412945,0.07526243923412945,0.2716099198698826
0.06,16,15.0,5,0.03525931313842246,0.0,0.07526243923412945,0.07526243923412945,0.2716099198698826
0.06,17,15.0,5,0.03525931313842246,0.0,0.07526243923412945,0.07526243923412945,0.2716099198698826
0.06,18,15.0,5,0.03525931313842246,0.0,0.07526243923412945,0.07526243923412945,0.2716099198698826
0.06,19,15.0,5,0.03525931313842246,0.0,0.07526243923412945,0.07526243923412945,0.2716099198698826
0.07,0,15.0,5,0.08821484718484618,0.0,0.20597413892314057,0.20597413892314057,0.30725863390209673
0.07,1,15.0,5,0.08821484718484618,0.0,0.20597413892314057,0.20597413892314057,0.30725863390209673
0.07,2,15.0,5,0.08821484718484618,0.0,0.20597413892314057,0.20597413892314057,0.30725863390209673
0.07,3,15.0,5,0.08821484718484618,0.0,0.20597413892314057,0.20597413892314057,0.30725863390209673
0.07,4,15.0,5,0.03176635663550848,0.0,0.20478004381897447,0.20478004381897447,0.16088915338983256
0.07,5,15.0,5,0.03176635663550848,0.0,0.20478004381897447,0.20478004381897447,0.16088915338983256
0.07,6,15.0,5,0.03176635663550848,0.0,0.20478004381897447,0.20478004381897447,0.16088915338983256
0.07,7,15.0,5,0.03176635663550848,0.0,0.20478004381897447,0.20478004381897447,0.16088915338983256
0.07,8,15.0,5,0.03176635663550848,0.0,0.20478004381897447,0.20478004381897447,0.16088915338983256
0.07,9,15.0,5,0.03176635663550848,0.0,0.20478004381897447,0.20478004381897447,0.16088915338983256
0.07,10,15.0,5,0.03176635663550848,0.0,0.20478004381897447,0.20478004381897447,0.16088915338983256
0.07,11,15.0,5,0.03176635663550848,0.0,0.20478004381897447,0.20478004381897447,0.16088915338983256
0.07,12,15.0,5,0.03176635663550848,0.0,0.20478004381897447,0.20478004381897447,0.16088915338983256
0.07,13,15.0,5,0.03176635663550848,0.0,0.20478004381897447,0.20478004381897447,0.16088915338983256
0.07,14,15.0,5,0.03176635663550848,0.0,0.20478004381897447,0.20478004381897447,0.16088915338983256
0.07,15,15.0,5,0.03176635663550848,0.0,0.20478004381897447,0.20478004381897447,0.16088915338983256
0.07,16,15.0,5,0.03176635663550848,0.0,0.20478004381897447,0.20478004381897447,0.16088915338983256
0.07,17,15.0,5,0.03176635663550848,0.0,0.20478004381897447,0.20478004381897447,0.16088915338983256
0.07,18,15.0,5,0.03176635663550848,0.0,0.20478004381897447,0.20478004381897447,0.16088915338983256
0.07,19,15.0,5,0.03176635663550848,0.0,0.20478004381897447,0.20478004381897447,0.16088915338983256
0.08,0,15.0,5,0.15600752427953687,0.06355574953821014,0.21610224320316604,0.28216430253216435,0.4755566622879592
0.08,1,15.0,5,0.15600752427953687,0.06355574953821014,0.21610224320316604,0.28216430253216435,0.4755566622879592
0.08,2,15.0,5,0.15600752427953687,0.06355574953821014,0.21610224320316604,0.28216430253216435,0.4755566622879592
0.08,3,15.0,5,0.15600752427953687,0.06355574953821014,0.21610224320316604,0.28216430253216435,0.4755566622879592
0.08,4,15.0,5,0.15600752427953687,0.06355574953821014,0.21610224320316604,0.28216430253216435,0.4755566622879592
0.08,5,15.0,5,0.15600752427953687,0.06355574953821014,0.21610224320316604,0.28216430253216435,0.4755566622879592
0.08,6,15.0,5,0.15600752427953687,0.06355574953821014,0.21610224320316604,0.28216430253216435,0.4755566622879592
0.08,7,15.0,5,0.15600752427953687,0.06355574953821014,0.21610224320316604,0.28216430253216435,0.4755566622879592
0.08,8,15.0,5,0.15600752427953687,0.06355574953821014,0.21610224320316604,0.28216430253216435,0.4755566622879592
0.08,9,15.0,5,0.15600752427953687,0.06355574953821014,0.21610224320316604,0.28216430253216435,0.4755566622879592
0.08,10,15.0,5,0.15600752427953687,0.06355574953821014,0.21610224320316604,0.28216430253216435,0.4755566622879592
0.08,11,15.0,5,0.15600752427953687,0.06355574953821014,0.21610224320316604,0.28216430253216435,0.4755566622879592
0.08,12,15.0,5,0.15600752427953687,0.06355574953821014,0.21610224320316604,0.28216430253216435,0.4755566622879592
0.08,13,15.0,5,0.15600752427953687,0.06355574953821014,0.21610224320316604,0.28216430253216435,0.4755566622879592
0.08,14,15.0,5,0.15600752427953687,0.06355574953821014,0.21610224320316604,0.28216430253216435,0.4755566622879592
0.08,15,15.0,5,0.15600752427953687,0.06355574953821014,0.21610224320316604,0.28216430253216435,0.4755566622879592
0.08,16,15.0,5,0.09538271159795152,0.0,0.3852859652284796,0.3852859652284796,0.19726918117813116
0.08,17,15.0,5,0.09538271159795152,0.0,0.3852859652284796,0.3852859652284796,0.19726918117813116
0.08,18,15.0,5,0.09538271159795152,0.0,0.3852859652284796,0.3852859652284796,0.19726918117813116
0.08,19,15.0,5,0.09538271159795152,0.0,0.3852859652284796,0.3852859652284796,0.19726918117813116
0.09,0,15.0,5,0.13339462152805553,0.0,0.28567258019172437,0.28567258019172437,0.20815200690035515
0.09,1,15.0,5,0.13339462152805553,0.0,0.28567258019172437,0.28567258019172437,0.20815200690035515
0.09,2,15.0,5,0.13339462152805553,0.0,0.28567258019172437,0.28567258019172437,0.20815200690035515
0.09,3,15.0,5,0.13339462152805553,0.0,0.28567258019172437,0.28567258019172437,0.20815200690035515
0.09,4,15.0,5,0.13339462152805553,0.0,0.28567258019172437,0.28567258019172437,0.20815200690035515
0.09,5,15.0,5,0.13339462152805553,0.0,0.28567258019172437,0.28567258019172437,0.20815200690035515
0.09,6,15.0,5,0.13339462152805553,0.0,0.28567258019172437,0.28567258019172437,0.20815200690035515
0.09,7,15.0,5,0.13339462152805553,0.0,0.28567258019172437,0.28567258019172437,0.20815200690035515
0.09,8,15.0,5,0.13339462152805553,0.0,0.28567258019172437,0.28567258019172437,0.20815200690035515
0.09,9,15.0,5,0.13339462152805553,0.0,0.28567258019172437,0.28567258019172437,0.20815200690035515
0.09,10,15.0,5,0.13339462152805553,0.0,0.28567258019172437,0.28567258019172437,0.20815200690035515
0.09,11,15.0,5,0.13339462152805553,0.0,0.28567258019172437,0.28567258019172437,0.20815200690035515
0.09,12,15.0,5,0.08762590332222824,0.0,0.13146051349306548,0.13146051349306548,0.13475458220983147
0.09,13,15.0,5,0.08762590332222824,0.0,0.13146051349306548,0.13146051349306548,0.13475458220983147
0.09,14,15.0,5,0.08762590332222824,0.0,0.13146051349306548,0.13146051349306548,0.13475458220983147
0.09,15,15.0,5,0.08762590332222824,0.0,0.13146051349306548,0.13146051349306548,0.13475458220983147
0.09,16,15.0,5,0.08762590332222824,0.0,0.13146051349306548,0.13146051349306548,0.13475458220983147
0.09,17,15.0,5,0.08762590332222824,0.0,0.13146051349306548,0.13146051349306548,0.13475458220983147
0.09,18,15.0,5,0.08762590332222824,0.0,0.13146051349306548,0.13146051349306548,0.13475458220983147
0.09,19,15.0,5,0.08762590332222824,0.0,0.13146051349306548,0.13146051349306548,0.13475458220983147
0.1,0,15.0,5,0.17777120027748258,0.0,0.20521895664583306,0.20521895664583306,0.15465193665120336
0.1,1,15.0,5,0.17777120027748258,0.0,0.20521895664583306,0.20521895664583306,0.15465193665120336
0.1,2,15.0,5,0.17777120027748258,0.0,0.20521895664583306,0.20521895664583306,0.15465193665120336
0.1,3,15.0,5,0.17777120027748258,0.0,0.20521895664583306,0.20521895664583306,0.15465193665120336
0.1,4,15.0,5,0.17777120027748258,0.0,0.20521895664583306,0.20521895664583306,0.15465193665120336
0.1,5,15.0,5,0.17777120027748258,0.0,0.20521895664583306,0.20521895664583306,0.15465193665120336
0.1,6,15.0,5,0.17777120027748258,0.0,0.20521895664583306,0.20521895664583306,0.15465193665120336
0.1,7,15.0,5,0.17777120027748258,0.0,0.20521895664583306,0.20521895664583306,0.15465193665120336
0.1,8,15.0,5,0.12994107550393513,0.011102386286197717,0.11681101679736265,0.12825232223881441,0.2674960512068157
0.1,9,15.0,5,0.12994107550393513,0.011102386286197717,0.11681101679736265,0.12825232223881441,0.2674960512068157
0.1,10,15.0,5,0.12994107550393513,0.011102386286197717,0.11681101679736265,0.12825232223881441,0.2674960512068157
0.1,11,15.0,5,0.12994107550393513,0.011102386286197717,0.11681101679736265,0.12825232223881441,0.2674960512068157
0.1,12,15.0,5,0.12994107550393513,0.011102386286197717,0.11681101679736265,0.12825232223881441,0.2674960512068157
0.1,13,15.0,5,0.12994107550393513,0.011102386286197717,0.11681101679736265,0.12825232223881441,0.2674960512068157
0.1,14,15.0,5,0.12994107550393513,0.011102386286197717,0.11681101679736265,0.12825232223881441,0.2674960512068157
0.1,15,15.0,5,0.12994107550393513,0.011102386286197717,0.11681101679736265,0.12825232223881441,0.2674960512068157
0.1,16,15.0,5,0.12994107550393513,0.011102386286197717,0.11681101679736265,0.12825232223881441,0.2674960512068157
0.1,17,15.0,5,0.12994107550393513,0.011102386286197717,0.11681101679736265,0.12825232223881441,0.2674960512068157
0.1,18,15.0,5,0.12994107550393513,0.011102386286197717,0.11681101679736265,0.12825232223881441,0.2674960512068157
0.1,19,15.0,5,0.12994107550393513,0.011102386286197717,0.11681101679736265,0.12825232223881441,0.2674960512068157
0.11,0,15.0,5,0.168606775204713,0.02229478680521906,0.18943154458388473,0.21147592007558358,0.2891157210856931
0.11,1,15.0,5,0.168606775204713,0.02229478680521906,0.18943154458388473,0.21147592007558358,0.2891157210856931
0.11,2,15.0,5,0.168606775204713,0.02229478680521906,0.18943154458388473,0.21147592007558358,0.2891157210856931
0.11,3,15.0,5,0.168606775204713,0.02229478680521906,0.18943154458388473,0.21147592007558358,0.2891157210856931
0.11,4,15.0,5,0.09216431716526027,0.0,0.3338377337501878,0.3338377337501878,0.08769849816629342
0.11,5,15.0,5,0.09216431716526027,0.0,0.3338377337501878,0.3338377337501878,0.08769849816629342
0.11,6,15.0,5,0.09216431716526027,0.0,0.3338377337501878,0.3338377337501878,0.08769849816629342
0.11,7,15.0,5,0.09216431716526027,0.0,0.3338377337501878,0.3338377337501878,0.08769849816629342
0.11,8,15.0,5,0.09216431716526027,0.0,0.3338377337501878,0.3338377337501878,0.08769849816629342
0.11,9,15.0,5,0.09216431716526027,0.0,0.3338377337501878,0.3338377337501878,0.08769849816629342
0.11,10,15.0,5,0.09216431716526027,0.0,0.3338377337501878,0.3338377337501878,0.08769849816629342
0.11,11,15.0,5,0.09216431716526027,0.0,0.3338377337501878,0.3338377337501878,0.08769849816629342
0.11,12,15.0,5,0.09216431716526027,0.0,0.3338377337501878,0.3338377337501878,0.08769849816629342
0.11,13,15.0,5,0.09216431716526027,0.0,0.3338377337501878,0.3338377337501878,0.08769849816629342
0.11,14,15.0,5,0.09216431716526027,0.0,0.3338377337501878,0.3338377337501878,0.08769849816629342
0.11,15,15.0,5,0.09216431716526027,0.0,0.3338377337501878,0.3338377337501878,0.08769849816629342
0.11,16,15.0,5,0.09216431716526027,0.0,0.3338377337501878,0.3338377337501878,0.08769849816629342
0.11,17,15.0,5,0.09216431716526027,0.0,0.3338377337501878,0.3338377337501878,0.08769849816629342
0.11,18,15.0,5,0.09216431716526027,0.0,0.3338377337501878,0.3338377337501878,0.08769849816629342
0.11,19,15.0,5,0.09216431716526027,0.0,0.3338377337501878,0.3338377337501878,0.08769849816629342
0.12,0,15.0,5,0.11281551088145694,0.11281551088145694,0.06322847039422613,0.1883017656023946,0.3922431931485353
0.12,1,15.0,5,0.11281551088145694,0.11281551088145694,0.06322847039422613,0.1883017656023946,0.3922431931485353
0.12,2,15.0,5,0.11281551088145694,0.11281551088145694,0.06322847039422613,0.1883017656023946,0.3922431931485353
0.12,3,15.0,5,0.11281551088145694,0.11281551088145694,0.06322847039422613,0.1883017656023946,0.3922431931485353
0.12,4,15.0,5,0.11281551088145694,0.11281551088145694,0.06322847039422613,0.1883017656023946,0.3922431931485353
0.12,5,15.0,5,0.11281551088145694,0.11281551088145694,0.06322847039422613,0.1883017656023946,0.3922431931485353
0.12,6,15.0,5,0.11281551088145694,0.11281551088145694,0.06322847039422613,0.1883017656023946,0.3922431931485353
0.12,7,15.0,5,0.11281551088145694,0.11281551088145694,0.06322847039422613,0.1883017656023946,0.3922431931485353
0.12,8,15.0,5,0.11281551088145694,0.11281551088145694,0.06322847039422613,0.1883017656023946,0.3922431931485353
0.12,9,15.0,5,0.11281551088145694,0.11281551088145694,0.06322847039422613,0.1883017656023946,0.3922431931485353
0.12,10,15.0,5,0.11281551088145694,0.11281551088145694,0.06322847039422613,0.1883017656023946,0.3922431931485353
0.12,11,15.0,5,0.11281551088145694,0.11281551088145694,0.06322847039422613,0.1883017656023946,0.3922431931485353
0.12,12,15.0,5,0.11281551088145694,0.11281551088145694,0.06322847039422613,0.1883017656023946,0.3922431931485353
0.12,13,15.0,5,0.11281551088145694,0.11281551088145694,0.06322847039422613,0.1883017656023946,0.3922431931485353
0.12,14,15.0,5,0.11281551088145694,0.11281551088145694,0.06322847039422613,0.1883017656023946,0.3922431931485353
0.12,15,15.0,5,0.11281551088145694,0.11281551088145694,0.06322847039422613,0.1883017656023946,0.3922431931485353
0.12,16,15.0,5,0.034061940905376835,0.0,0.30827794631183847,0.30827794631183847,0.09495428980814762
0.12,17,15.0,5,0.034061940905376835,0.0,0.30827794631183847,0.30827794631183847,0.09495428980814762
0.12,18,15.0,5,0.034061940905376835,0.0,0.30827794631183847,0.30827794631183847,0.09495428980814762
0.12,19,15.0,5,0.034061940905376835,0.0,0.30827794631183847,0.30827794631183847,0.09495428980814762
0.13,0,15.0,5,0.07296369905980518,0.0,0.2566074821496671,0.2566074821496671,0.08876165865957168
0.13,1,15.0,5,0.07296369905980518,0.0,0.2566074821496671,0.2566074821496671,0.08876165865957168
0.13,2,15.0,5,0.07296369905980518,0.0,0.2566074821496671,0.2566074821496671,0.08876165865957168
0.13,3,15.0,5,0.07296369905980518,0.0,0.2566074821496671,0.2566074821496671,0.08876165865957168
