alpha,run,te_delta,substrate_robustness,polarization_mean,variant_te_deltas
0.0,0,0.8118598916570683,0.9999494227191158,0.0811478250800292,"[np.float64(0.8118848256141072), np.float64(0.8119032001187795), np.float64(0.8117947052777055)]"
0.0,1,0.8118598916570683,0.9999494227191158,0.0811478250800292,"[np.float64(0.8118848256141072), np.float64(0.8119032001187795), np.float64(0.8117947052777055)]"
0.0,2,0.8118598916570683,0.9999494227191158,0.0811478250800292,"[np.float64(0.8118848256141072), np.float64(0.8119032001187795), np.float64(0.8117947052777055)]"
0.0,3,0.8118598916570683,0.9999494227191158,0.0811478250800292,"[np.float64(0.8118848256141072), np.float64(0.8119032001187795), np.float64(0.8117947052777055)]"
0.0,4,0.8118598916570683,0.9999494227191158,0.0811478250800292,"[np.float64(0.8118848256141072), np.float64(0.8119032001187795), np.float64(0.8117947052777055)]"
0.0,5,0.8118598916570683,0.9999494227191158,0.0811478250800292,"[np.float64(0.8118848256141072), np.float64(0.8119032001187795), np.float64(0.8117947052777055)]"
0.0,6,0.8118598916570683,0.9999494227191158,0.0811478250800292,"[np.float64(0.8118848256141072), np.float64(0.8119032001187795), np.float64(0.8117947052777055)]"
0.0,7,0.8118598916570683,0.9999494227191158,0.0811478250800292,"[np.float64(0.8118848256141072), np.float64(0.8119032001187795), np.float64(0.8117947052777055)]"
0.0,8,0.8119078284694381,0.9998904116369284,0.04830284040112322,"[np.float64(0.811750915984569), np.float64(0.81195167609), np.float64(0.8119819911887423)]"
0.0,9,0.8119078284694381,0.9998904116369284,0.04830284040112322,"[np.float64(0.811750915984569), np.float64(0.81195167609), np.float64(0.8119819911887423)]"
0.1,0,0.8118320856990692,0.9997865436909418,0.06277356418649195,"[np.float64(0.811656432871), np.float64(0.8120110344827214), np.float64(0.8115569584322555)]"
0.1,1,0.8118320856990692,0.9997865436909418,0.06277356418649195,"[np.float64(0.811656432871), np.float64(0.8120110344827214), np.float64(0.8115569584322555)]"
0.1,2,0.8118320856990692,0.9997865436909418,0.06277356418649195,"[np.float64(0.811656432871), np.float64(0.8120110344827214), np.float64(0.8115569584322555)]"
0.1,3,0.8118320856990692,0.9997865436909418,0.06277356418649195,"[np.float64(0.811656432871), np.float64(0.8120110344827214), np.float64(0.8115569584322555)]"
0.1,4,0.8118320856990692,0.9997865436909418,0.06277356418649195,"[np.float64(0.811656432871), np.float64(0.8120110344827214), np.float64(0.8115569584322555)]"
0.1,5,0.8118320856990692,0.9997865436909418,0.06277356418649195,"[np.float64(0.811656432871), np.float64(0.8120110344827214), np.float64(0.8115569584322555)]"
0.1,6,0.8116983767265833,0.9999111773288017,0.18184486135625264,"[np.float64(0.8116594791871039), np.float64(0.8118035375275805), np.float64(0.8116068363993042)]"
0.1,7,0.8116983767265833,0.9999111773288017,0.18184486135625264,"[np.float64(0.8116594791871039), np.float64(0.8118035375275805), np.float64(0.8116068363993042)]"
0.1,8,0.8116983767265833,0.9999111773288017,0.18184486135625264,"[np.float64(0.8116594791871039), np.float64(0.8118035375275805), np.float64(0.8116068363993042)]"
0.1,9,0.8116983767265833,0.9999111773288017,0.18184486135625264,"[np.float64(0.8116594791871039), np.float64(0.8118035375275805), np.float64(0.8116068363993042)]"
0.2,0,0.8114442610891492,0.999815840620361,0.2930452286774962,"[np.float64(0.8112170474645597), np.float64(0.8113773149091371), np.float64(0.811633849067736)]"
0.2,1,0.8114442610891492,0.999815840620361,0.2930452286774962,"[np.float64(0.8112170474645597), np.float64(0.8113773149091371), np.float64(0.811633849067736)]"
0.2,2,0.8114442610891492,0.999815840620361,0.2930452286774962,"[np.float64(0.8112170474645597), np.float64(0.8113773149091371), np.float64(0.811633849067736)]"
0.2,3,0.8114442610891492,0.999815840620361,0.2930452286774962,"[np.float64(0.8112170474645597), np.float64(0.8113773149091371), np.float64(0.811633849067736)]"
0.2,4,0.8114365125819115,0.9998648211062056,0.16833443212442534,"[np.float64(0.8116800626806587), np.float64(0.8115829622896311), np.float64(0.8117217868798513)]"
0.2,5,0.8114365125819115,0.9998648211062056,0.16833443212442534,"[np.float64(0.8116800626806587), np.float64(0.8115829622896311), np.float64(0.8117217868798513)]"
0.2,6,0.8114365125819115,0.9998648211062056,0.16833443212442534,"[np.float64(0.8116800626806587), np.float64(0.8115829622896311), np.float64(0.8117217868798513)]"
0.2,7,0.8114365125819115,0.9998648211062056,0.16833443212442534,"[np.float64(0.8116800626806587), np.float64(0.8115829622896311), np.float64(0.8117217868798513)]"
0.2,8,0.8114365125819115,0.9998648211062056,0.16833443212442534,"[np.float64(0.8116800626806587), np.float64(0.8115829622896311), np.float64(0.8117217868798513)]"
0.2,9,0.8114365125819115,0.9998648211062056,0.16833443212442534,"[np.float64(0.8116800626806587), np.float64(0.8115829622896311), np.float64(0.8117217868798513)]"
0.30000000000000004,0,0.8116496769436147,0.9998296866504549,0.21493265782895982,"[np.float64(0.8117231250317332), np.float64(0.8114426508610438), np.float64(0.8118184749358138)]"
0.30000000000000004,1,0.8116496769436147,0.9998296866504549,0.21493265782895982,"[np.float64(0.8117231250317332), np.float64(0.8114426508610438), np.float64(0.8118184749358138)]"
0.30000000000000004,2,0.8114980595570256,0.9998532655812394,0.318675924436339,"[np.float64(0.811456527529462), np.float64(0.8117093082966097), np.float64(0.8113914645851762)]"
0.30000000000000004,3,0.8114980595570256,0.9998532655812394,0.318675924436339,"[np.float64(0.811456527529462), np.float64(0.8117093082966097), np.float64(0.8113914645851762)]"
0.30000000000000004,4,0.8114980595570256,0.9998532655812394,0.318675924436339,"[np.float64(0.811456527529462), np.float64(0.8117093082966097), np.float64(0.8113914645851762)]"
0.30000000000000004,5,0.8114980595570256,0.9998532655812394,0.318675924436339,"[np.float64(0.811456527529462), np.float64(0.8117093082966097), np.float64(0.8113914645851762)]"
0.30000000000000004,6,0.8114980595570256,0.9998532655812394,0.318675924436339,"[np.float64(0.811456527529462), np.float64(0.8117093082966097), np.float64(0.8113914645851762)]"
0.30000000000000004,7,0.8114980595570256,0.9998532655812394,0.318675924436339,"[np.float64(0.811456527529462), np.float64(0.8117093082966097), np.float64(0.8113914645851762)]"
0.30000000000000004,8,0.8114980595570256,0.9998532655812394,0.318675924436339,"[np.float64(0.811456527529462), np.float64(0.8117093082966097), np.float64(0.8113914645851762)]"
0.30000000000000004,9,0.8114980595570256,0.9998532655812394,0.318675924436339,"[np.float64(0.811456527529462), np.float64(0.8117093082966097), np.float64(0.8113914645851762)]"
0.4,0,0.8119828762481848,0.999515131117776,0.10056668302202144,"[np.float64(0.8110090195574736), np.float64(0.8116463290799325), np.float64(0.8119627804588353)]"
0.4,1,0.8119828762481848,0.999515131117776,0.10056668302202144,"[np.float64(0.8110090195574736), np.float64(0.8116463290799325), np.float64(0.8119627804588353)]"
0.4,2,0.8119828762481848,0.999515131117776,0.10056668302202144,"[np.float64(0.8110090195574736), np.float64(0.8116463290799325), np.float64(0.8119627804588353)]"
0.4,3,0.8119828762481848,0.999515131117776,0.10056668302202144,"[np.float64(0.8110090195574736), np.float64(0.8116463290799325), np.float64(0.8119627804588353)]"
0.4,4,0.8119828762481848,0.999515131117776,0.10056668302202144,"[np.float64(0.8110090195574736), np.float64(0.8116463290799325), np.float64(0.8119627804588353)]"
0.4,5,0.8119828762481848,0.999515131117776,0.10056668302202144,"[np.float64(0.8110090195574736), np.float64(0.8116463290799325), np.float64(0.8119627804588353)]"
