alpha,run,te_delta,substrate_robustness,polarization_mean,variant_te_deltas
0.0,0,0.8552171737816384,0.9999332998100438,0.03138004648228112,"[np.float64(0.8551932110933257), np.float64(0.8552170104756287), np.float64(0.8550793410052148)]"
0.0,1,0.8552171737816384,0.9999332998100438,0.03138004648228112,"[np.float64(0.8551932110933257), np.float64(0.8552170104756287), np.float64(0.8550793410052148)]"
0.0,2,0.8552171737816384,0.9999332998100438,0.03138004648228112,"[np.float64(0.8551932110933257), np.float64(0.8552170104756287), np.float64(0.8550793410052148)]"
0.0,3,0.8552171737816384,0.9999332998100438,0.03138004648228112,"[np.float64(0.8551932110933257), np.float64(0.8552170104756287), np.float64(0.8550793410052148)]"
0.0,4,0.8552171737816384,0.9999332998100438,0.03138004648228112,"[np.float64(0.8551932110933257), np.float64(0.8552170104756287), np.float64(0.8550793410052148)]"
0.0,5,0.8552171737816384,0.9999332998100438,0.03138004648228112,"[np.float64(0.8551932110933257), np.float64(0.8552170104756287), np.float64(0.8550793410052148)]"
0.0,6,0.8552171737816384,0.9999332998100438,0.03138004648228112,"[np.float64(0.8551932110933257), np.float64(0.8552170104756287), np.float64(0.8550793410052148)]"
0.0,7,0.8552171737816384,0.9999332998100438,0.03138004648228112,"[np.float64(0.8551932110933257), np.float64(0.8552170104756287), np.float64(0.8550793410052148)]"
0.0,8,0.8552171737816384,0.9999332998100438,0.03138004648228112,"[np.float64(0.8551932110933257), np.float64(0.8552170104756287), np.float64(0.8550793410052148)]"
0.0,9,0.8552171737816384,0.9999332998100438,0.03138004648228112,"[np.float64(0.8551932110933257), np.float64(0.8552170104756287), np.float64(0.8550793410052148)]"
0.1,0,0.8552301064279988,0.999930429937604,0.08212923758866121,"[np.float64(0.8551647936775376), np.float64(0.8551243740214414), np.float64(0.8550668556120855)]"
0.1,1,0.8552301064279988,0.999930429937604,0.08212923758866121,"[np.float64(0.8551647936775376), np.float64(0.8551243740214414), np.float64(0.8550668556120855)]"
